ID,Exclamation,Dollar,Spam,DemoPartition
201,1.045,0.321,1,v
202,0.985,0.184,1,v
203,0.869,0.186,1,v
204,0.915,0.000,1,v
205,0.187,0.112,1,v
206,0.615,0.000,1,v
207,0.893,0.000,1,v
208,0.816,0.068,1,v
209,0.353,0.000,1,v
210,0.563,0.150,1,v
211,0.287,0.223,1,v
212,0.000,0.000,1,v
213,0.202,1.417,1,v
214,1.182,0.253,1,v
215,0.080,0.000,1,v
216,0.165,0.165,1,v
217,0.000,0.022,1,v
218,0.000,0.022,1,v
219,0.212,0.185,1,v
220,0.468,0.267,1,v
221,0.081,0.816,1,v
222,0.366,0.061,1,v
223,0.633,0.063,1,v
224,0.779,0.021,1,v
225,0.000,0.157,1,v
226,0.000,0.159,1,v
227,0.258,0.032,1,v
228,0.188,0.112,1,v
229,1.094,0.000,1,v
230,0.000,0.171,1,v
231,0.884,0.752,1,v
232,0.683,0.000,1,v
233,0.773,0.080,1,v
234,0.000,0.000,1,v
235,1.113,0.278,1,v
236,0.000,0.000,1,v
237,0.000,0.000,1,v
238,0.088,0.013,1,v
239,0.471,0.000,1,v
240,0.000,0.082,1,v
241,1.806,0.000,1,v
242,0.129,0.193,1,v
243,0.479,0.000,1,v
244,0.814,0.000,1,v
245,0.000,0.158,1,v
246,0.937,0.000,1,v
247,0.479,0.000,1,v
248,0.145,0.437,1,v
249,0.461,0.263,1,v
250,0.862,0.707,1,v
251,0.000,0.000,1,v
252,2.766,0.829,1,v
253,0.390,0.097,1,v
254,0.750,0.305,1,v
255,0.750,0.305,1,v
256,2.453,0.000,1,v
257,0.931,0.000,1,v
258,1.620,0.347,1,v
259,0.000,0.162,1,v
260,0.159,0.159,1,v
261,0.000,0.161,1,v
262,0.862,0.707,1,v
263,0.043,0.000,1,v
264,0.665,0.083,1,v
265,0.271,0.135,1,v
266,0.204,0.127,1,v
267,0.784,0.000,1,v
268,0.203,0.203,1,v
269,0.090,0.090,1,v
270,0.204,0.127,1,v
271,0.204,0.127,1,v
272,0.829,0.000,1,v
273,0.041,0.124,1,v
274,0.000,0.000,1,v
275,0.487,0.000,1,v
276,0.085,0.057,1,v
277,0.401,0.267,1,v
278,0.487,0.000,1,v
279,0.315,0.000,1,v
280,0.487,0.000,1,v
281,0.540,0.180,1,v
282,0.764,0.784,1,v
283,0.632,0.030,1,v
284,1.453,0.129,1,v
285,0.531,0.000,1,v
286,0.732,0.753,1,v
287,0.867,0.000,1,v
288,1.117,0.000,1,v
289,0.010,0.167,1,v
290,0.785,0.065,1,v
291,0.841,0.210,1,v
292,1.158,0.057,1,v
293,0.348,0.103,1,v
294,0.841,0.036,1,v
295,0.000,0.032,1,v
296,0.702,0.263,1,v
297,0.000,0.157,1,v
298,0.715,0.318,1,v
299,0.759,0.253,1,v
300,0.242,0.107,1,v
301,0.411,0.000,1,v
302,0.000,0.000,1,v
303,0.295,0.107,1,v
304,0.551,0.459,1,v
305,0.000,0.159,1,v
306,0.554,0.369,1,v
307,0.070,0.070,1,v
308,0.532,0.000,1,v
309,0.309,0.000,1,v
310,0.129,0.000,1,v
311,1.133,0.000,1,v
312,0.718,0.000,1,v
313,0.906,0.663,1,v
314,0.010,0.167,1,v
315,0.322,0.094,1,v
316,1.284,0.000,1,v
317,0.672,0.269,1,v
318,0.000,0.199,1,v
319,0.268,0.107,1,v
320,0.241,0.107,1,v
321,0.000,0.157,1,v
322,0.511,0.000,1,v
323,1.152,0.000,1,v
324,0.000,0.000,1,v
325,0.511,0.000,1,v
326,0.000,0.000,1,v
327,0.754,0.681,1,v
328,0.275,0.137,1,v
329,0.351,0.175,1,v
330,0.693,0.670,1,v
331,1.434,0.000,1,v
332,0.000,0.201,1,v
333,0.230,0.230,1,v
334,0.217,0.000,1,v
335,0.209,0.209,1,v
336,0.604,0.181,1,v
337,0.462,0.370,1,v
338,0.310,0.062,1,v
339,0.230,0.230,1,v
340,0.000,0.000,1,v
341,0.000,0.159,1,v
342,0.000,0.198,1,v
343,0.230,0.230,1,v
344,0.501,0.300,1,v
345,0.834,0.463,1,v
346,0.000,1.121,1,v
347,0.310,0.062,1,v
348,0.406,0.038,1,v
349,0.462,0.370,1,v
350,0.310,0.062,1,v
351,0.604,0.181,1,v
352,0.000,0.000,1,v
353,0.230,0.230,1,v
354,0.000,0.158,1,v
355,0.010,0.167,1,v
356,0.000,0.201,1,v
357,0.063,0.127,1,v
358,0.000,0.000,1,v
359,0.000,0.000,1,v
360,0.107,0.017,1,v
361,5.000,0.000,1,v
362,2.443,0.000,1,v
363,1.018,0.036,1,v
364,0.000,0.158,1,v
365,0.000,0.000,1,v
366,1.018,0.036,1,v
367,0.110,0.000,1,v
368,0.102,0.259,1,v
369,0.000,0.157,1,v
370,0.332,0.110,1,v
371,0.107,0.017,1,v
372,0.802,0.114,1,v
373,0.831,0.338,1,v
374,0.517,0.103,1,v
375,0.108,0.000,1,v
376,0.153,0.000,1,v
377,0.319,0.479,1,v
378,0.397,0.000,1,v
379,0.000,0.000,1,v
380,0.000,0.199,1,v
381,0.101,0.202,1,v
382,0.000,0.000,1,v
383,0.420,0.114,1,v
384,0.663,0.000,1,v
385,0.826,0.745,1,v
386,0.010,0.169,1,v
387,0.010,0.169,1,v
388,0.429,0.236,1,v
389,0.369,0.109,1,v
390,0.356,0.101,1,v
391,0.163,0.000,1,v
392,0.000,0.000,1,v
393,0.105,0.420,1,v
394,0.101,0.304,1,v
395,0.428,0.235,1,v
396,0.163,0.326,1,v
397,0.537,0.000,1,v
398,0.286,0.000,1,v
399,0.230,0.134,1,v
400,0.000,0.000,1,v
401,0.616,0.000,1,v
402,0.367,0.061,1,v
403,0.524,0.000,1,v
404,0.000,0.000,1,v
405,0.520,0.000,1,v
407,0.165,0.082,1,v
408,0.034,0.019,1,v
409,2.636,0.683,1,v
410,0.354,0.000,1,v
411,0.394,0.114,1,v
412,0.340,0.000,1,v
413,0.577,0.216,1,v
414,0.153,0.153,1,v
415,0.269,0.080,1,v
416,0.456,0.273,1,v
417,1.118,0.054,1,v
418,0.241,0.072,1,v
419,0.255,0.076,1,v
420,0.443,0.510,1,v
421,1.143,0.519,1,v
422,0.367,0.193,1,v
423,0.497,0.165,1,v
424,3.571,0.000,1,v
425,0.382,0.847,1,v
426,0.367,0.193,1,v
427,0.700,0.000,1,v
428,0.146,0.000,1,v
429,0.801,0.000,1,v
430,0.000,0.000,1,v
431,0.412,0.412,1,v
432,0.277,0.000,1,v
433,0.412,0.412,1,v
434,1.257,0.000,1,v
435,0.000,0.000,1,v
436,0.101,0.222,1,v
437,0.935,0.000,1,v
438,0.056,0.094,1,v
439,1.007,0.000,1,v
440,0.421,0.210,1,v
441,0.190,0.380,1,v
442,1.336,0.000,1,v
443,0.334,0.133,1,v
444,0.000,3.125,1,v
445,0.000,0.000,1,v
446,0.777,0.000,1,v
447,0.369,0.000,1,v
448,0.373,0.196,1,v
449,0.041,0.041,1,v
450,0.041,0.041,1,v
451,0.890,0.046,1,v
452,0.800,0.177,1,v
453,0.084,0.336,1,v
454,0.000,0.000,1,v
455,0.000,0.000,1,v
456,0.057,0.171,1,v
457,0.251,0.251,1,v
458,0.186,0.186,1,v
459,0.187,0.000,1,v
460,0.203,0.000,1,v
461,0.176,0.000,1,v
462,1.385,0.000,1,v
463,0.000,0.000,1,v
464,0.000,0.389,1,v
465,0.486,0.000,1,v
466,0.141,3.305,1,v
467,0.000,0.040,1,v
468,0.341,0.085,1,v
469,0.546,0.000,1,v
470,2.631,0.000,1,v
471,5.844,0.000,1,v
472,1.081,0.000,1,v
473,0.574,0.000,1,v
474,0.536,0.000,1,v
475,0.000,0.156,1,v
476,0.191,0.383,1,v
477,3.448,0.000,1,v
478,0.191,0.383,1,v
479,0.000,0.053,1,v
480,0.291,0.000,1,v
481,0.816,0.065,1,v
482,4.347,0.000,1,v
483,0.016,0.065,1,v
484,0.902,0.225,1,v
485,0.318,0.151,1,v
486,0.396,0.000,1,v
487,0.297,0.156,1,v
488,1.096,0.000,1,v
489,0.394,0.114,1,v
490,0.260,0.173,1,v
491,0.171,0.171,1,v
492,0.518,0.162,1,v
493,0.297,0.156,1,v
494,0.190,0.000,1,v
495,0.611,0.264,1,v
496,0.422,0.634,1,v
497,0.000,0.000,1,v
498,0.111,0.111,1,v
499,0.492,0.338,1,v
500,0.478,0.509,1,v
501,0.000,0.000,1,v
502,0.408,0.408,1,v
503,0.084,0.761,1,v
504,0.394,0.114,1,v
505,0.264,0.000,1,v
506,0.233,0.233,1,v
507,0.130,0.173,1,v
508,1.060,0.151,1,v
509,0.843,0.129,1,v
510,0.919,0.367,1,v
511,0.507,0.493,1,v
512,0.000,0.151,1,v
513,0.093,0.466,1,v
514,0.556,0.069,1,v
515,0.387,1.961,1,v
516,0.311,0.000,1,v
517,0.101,0.101,1,v
518,0.208,0.626,1,v
519,0.291,0.000,1,v
520,0.057,0.000,1,v
521,1.116,0.111,1,v
522,1.103,0.110,1,v
523,0.378,4.017,1,v
524,0.420,0.191,1,v
525,0.249,0.031,1,v
526,0.082,0.410,1,v
527,0.153,0.128,1,v
528,0.125,0.000,1,v
529,0.153,0.128,1,v
530,0.456,0.500,1,v
531,0.382,0.223,1,v
532,0.211,0.740,1,v
533,0.109,0.763,1,v
534,0.121,0.121,1,v
535,0.185,0.216,1,v
536,0.210,0.632,1,v
537,0.203,0.610,1,v
538,0.016,0.065,1,v
539,0.537,0.000,1,v
540,0.000,0.170,1,v
541,0.153,0.000,1,v
542,0.142,0.500,1,v
543,0.094,0.118,1,v
544,0.000,0.000,1,v
545,0.088,0.353,1,v
546,0.000,0.000,1,v
547,0.121,0.000,1,v
548,0.000,0.000,1,v
549,0.324,0.000,1,v
550,0.000,0.048,1,v
551,0.110,0.000,1,v
552,1.689,0.132,1,v
553,0.774,0.000,1,v
554,0.111,0.000,1,v
555,0.439,0.505,1,v
556,1.289,0.042,1,v
557,0.213,0.113,1,v
558,0.215,0.000,1,v
559,1.082,0.299,1,v
560,0.000,0.092,1,v
561,0.616,0.000,1,v
562,0.232,0.232,1,v
563,0.000,0.156,1,v
564,0.368,0.000,1,v
565,0.225,0.000,1,v
566,0.223,0.000,1,v
567,0.000,0.000,1,v
568,0.000,0.000,1,v
569,0.000,0.000,1,v
570,0.363,0.535,1,v
571,0.649,0.000,1,v
572,0.189,0.189,1,v
573,0.699,0.000,1,v
574,0.375,0.034,1,v
575,0.176,0.176,1,v
576,0.745,0.308,1,v
577,0.749,0.310,1,v
578,0.741,0.306,1,v
579,0.000,0.000,1,v
580,0.000,0.338,1,v
581,1.316,0.177,1,v
582,0.095,0.023,1,v
583,0.242,0.030,1,v
584,1.294,0.182,1,v
585,0.749,0.310,1,v
586,0.000,0.000,1,v
587,0.125,0.000,1,v
588,0.072,0.108,1,v
589,0.277,0.000,1,v
590,0.000,0.000,1,v
591,0.334,0.000,1,v
592,0.574,0.134,1,v
593,1.255,0.000,1,v
594,0.034,0.120,1,v
595,0.274,0.000,1,v
596,0.388,0.236,1,v
597,0.000,0.000,1,v
598,0.085,0.170,1,v
599,3.333,0.000,1,v
600,0.546,0.000,1,v
601,0.322,0.626,1,v
602,0.612,0.183,1,v
603,0.192,0.000,1,v
604,1.718,0.055,1,v
605,0.359,0.403,1,v
606,0.321,0.107,1,v
607,0.000,0.000,1,v
608,0.519,0.000,1,v
609,0.132,0.000,1,v
610,0.246,0.030,1,v
611,0.265,0.132,1,v
612,0.433,0.361,1,v
613,0.474,0.152,1,v
614,0.265,0.132,1,v
615,0.438,0.585,1,v
616,2.115,0.070,1,v
617,0.392,0.176,1,v
618,0.000,0.000,1,v
619,1.096,0.109,1,v
620,0.218,0.000,1,v
621,0.125,0.000,1,v
622,0.218,0.000,1,v
623,0.000,0.000,1,v
624,0.404,0.224,1,v
625,0.113,0.000,1,v
626,0.190,0.247,1,v
627,0.206,0.309,1,v
628,0.000,0.000,1,v
629,0.414,0.888,1,v
630,0.770,0.000,1,v
631,0.928,0.384,1,v
632,0.000,0.000,1,v
633,0.452,0.528,1,v
634,0.000,0.000,1,v
635,0.167,0.027,1,v
636,1.065,0.000,1,v
637,1.294,0.043,1,v
638,0.531,0.000,1,v
639,0.127,0.182,1,v
640,0.983,0.089,1,v
641,0.430,0.358,1,v
642,0.472,0.472,1,v
643,0.425,0.141,1,v
644,0.072,0.289,1,v
645,1.344,0.000,1,v
646,0.257,0.000,1,v
647,0.427,0.142,1,v
648,1.149,0.000,1,v
649,0.366,0.000,1,v
650,0.520,0.130,1,v
651,0.000,0.063,1,v
652,0.669,0.297,1,v
653,0.477,0.000,1,v
654,1.336,0.000,1,v
655,0.406,0.464,1,v
656,0.163,1.305,1,v
657,0.435,0.062,1,v
658,0.372,0.159,1,v
659,0.352,0.020,1,v
660,0.396,0.099,1,v
661,0.621,0.062,1,v
662,0.000,0.000,1,v
663,0.583,0.000,1,v
664,0.308,0.672,1,v
665,0.230,0.000,1,v
666,0.728,0.182,1,v
667,0.046,0.000,1,v
668,0.897,0.000,1,v
669,0.337,0.054,1,v
670,0.022,0.022,1,v
671,1.098,0.000,1,v
672,0.246,0.894,1,v
673,0.902,0.106,1,v
674,0.269,0.000,1,v
675,1.111,0.000,1,v
676,0.030,0.000,1,v
677,0.513,0.114,1,v
678,0.644,0.161,1,v
679,0.991,0.390,1,v
680,0.034,0.000,1,v
681,0.640,0.166,1,v
682,0.061,0.000,1,v
683,0.158,0.063,1,v
684,0.671,0.000,1,v
685,0.233,0.202,1,v
686,1.132,0.077,1,v
687,0.453,0.543,1,v
688,0.337,0.141,1,v
689,0.000,0.439,1,v
690,0.323,0.000,1,v
691,0.000,0.000,1,v
692,0.109,0.000,1,v
693,1.098,0.000,1,v
694,3.851,0.000,1,v
695,0.052,0.105,1,v
696,0.490,0.158,1,v
697,0.248,0.049,1,v
698,0.593,0.217,1,v
699,0.490,0.158,1,v
700,0.406,0.388,1,v
701,0.974,0.396,1,v
702,0.000,0.000,1,v
703,0.128,0.000,1,v
704,0.179,0.674,1,v
705,0.977,0.397,1,v
706,0.000,0.000,1,v
707,0.244,0.390,1,v
708,0.287,0.107,1,v
709,0.223,0.223,1,v
710,0.847,0.077,1,v
711,0.343,0.141,1,v
712,0.169,0.452,1,v
713,0.206,0.206,1,v
714,0.145,0.145,1,v
715,0.179,0.673,1,v
716,0.144,0.288,1,v
717,0.334,0.000,1,v
718,1.362,0.037,1,v
719,0.122,0.000,1,v
720,0.859,0.101,1,v
721,0.858,0.101,1,v
722,0.238,0.034,1,v
723,0.490,0.158,1,v
724,0.250,0.224,1,v
725,0.250,0.224,1,v
726,0.343,0.171,1,v
727,0.276,0.830,1,v
728,0.124,0.000,1,v
729,0.000,0.000,1,v
730,0.367,0.061,1,v
731,0.328,0.000,1,v
732,0.010,0.161,1,v
733,0.529,0.411,1,v
734,0.309,0.103,1,v
735,0.278,0.216,1,v
736,0.349,0.000,1,v
737,0.124,0.124,1,v
738,0.305,0.000,1,v
739,1.836,0.000,1,v
740,0.000,0.040,1,v
741,0.000,0.000,1,v
742,0.224,0.056,1,v
743,0.000,0.000,1,v
744,0.065,0.000,1,v
745,0.021,0.000,1,v
746,0.677,0.828,1,v
747,0.432,0.135,1,v
748,0.000,0.000,1,v
749,0.225,0.056,1,v
750,0.126,0.000,1,v
751,0.190,0.000,1,v
752,0.291,0.000,1,v
753,0.432,0.432,1,v
754,0.103,0.000,1,v
755,0.079,0.105,1,v
756,0.076,0.101,1,v
757,0.079,0.106,1,v
758,0.435,0.932,1,v
759,0.410,0.192,1,v
760,0.394,0.000,1,v
761,0.080,0.107,1,v
762,0.117,0.000,1,v
763,0.000,0.000,1,v
764,0.371,0.046,1,v
765,0.000,0.000,1,v
766,0.339,0.162,1,v
767,0.224,0.000,1,v
768,1.129,0.483,1,v
769,0.000,0.027,1,v
770,0.020,0.163,1,v
771,0.215,0.000,1,v
772,0.301,0.000,1,v
773,0.315,0.035,1,v
774,0.077,0.000,1,v
775,1.179,0.117,1,v
776,0.072,1.457,1,v
777,0.064,0.128,1,v
778,0.000,0.000,1,v
779,0.393,0.145,1,v
780,0.000,0.248,1,v
781,0.010,0.165,1,v
782,0.000,0.000,1,v
783,0.253,0.031,1,v
784,0.035,0.124,1,v
785,0.921,0.345,1,v
786,0.267,0.000,1,v
787,0.033,0.118,1,v
788,0.252,0.031,1,v
789,0.252,0.031,1,v
791,0.288,0.173,1,v
792,0.766,0.317,1,v
793,0.610,0.000,1,v
794,0.613,0.229,1,v
795,0.056,0.056,1,v
796,0.134,0.000,1,v
797,0.237,0.031,1,v
798,0.235,0.188,1,v
799,0.000,0.000,1,v
800,0.238,0.238,1,v
801,0.189,0.000,1,v
802,0.119,0.071,1,v
803,0.408,0.118,1,v
804,0.610,0.000,1,v
805,0.158,0.000,1,v
806,0.124,0.000,1,v
807,0.898,0.105,1,v
808,0.221,0.665,1,v
809,0.071,1.212,1,v
810,1.739,0.173,1,v
811,0.898,0.105,1,v
812,0.237,0.031,1,v
813,0.408,0.118,1,v
814,0.000,0.000,1,v
815,0.636,0.000,1,v
816,0.000,0.184,1,v
817,0.458,2.330,1,v
818,0.131,0.056,1,v
819,0.160,0.000,1,v
820,1.687,0.168,1,v
821,1.683,0.168,1,v
822,0.257,0.032,1,v
823,0.088,0.000,1,v
824,0.979,0.000,1,v
825,0.088,0.000,1,v
826,0.418,0.254,1,v
827,0.875,0.109,1,v
828,1.001,0.000,1,v
829,0.445,0.519,1,v
831,0.396,0.000,1,v
832,0.030,0.015,1,v
833,0.095,0.478,1,v
834,0.095,0.475,1,v
835,0.094,0.473,1,v
836,0.384,0.182,1,v
837,0.138,0.138,1,v
838,1.300,0.127,1,v
839,0.455,0.000,1,v
840,1.300,0.127,1,v
841,0.000,0.166,1,v
842,0.000,0.215,1,v
843,0.336,0.160,1,v
844,0.016,0.000,1,v
845,0.424,0.424,1,v
846,0.421,0.000,1,v
847,0.000,0.000,1,v
848,0.287,0.106,1,v
849,0.843,0.000,1,v
850,2.224,1.223,1,v
851,2.249,1.237,1,v
852,0.334,0.175,1,v
853,1.235,0.000,1,v
854,0.441,0.662,1,v
855,0.102,0.000,1,v
856,0.174,0.000,1,v
857,0.173,0.000,1,v
858,0.864,0.132,1,v
859,0.000,0.000,1,v
860,0.326,0.155,1,v
861,0.016,0.064,1,v
862,0.007,0.099,1,v
863,0.611,0.014,1,v
864,0.368,0.552,1,v
865,0.235,0.235,1,v
866,0.878,0.175,1,v
867,0.878,0.175,1,v
868,4.733,0.000,1,v
869,0.000,0.000,1,v
870,0.020,0.161,1,v
871,0.182,0.146,1,v
872,1.199,0.505,1,v
873,1.599,0.148,1,v
874,0.088,0.124,1,v
875,0.000,0.187,1,v
876,7.843,0.000,1,v
877,0.000,0.000,1,v
878,0.000,0.000,1,v
879,1.663,0.249,1,v
880,1.687,0.168,1,v
881,2.143,0.612,1,v
882,0.131,0.071,1,v
883,0.000,0.204,1,v
884,0.862,0.000,1,v
885,1.683,0.168,1,v
886,1.680,0.168,1,v
887,0.000,0.000,1,v
888,0.000,0.000,1,v
889,0.899,0.105,1,v
890,0.000,0.389,1,v
891,0.572,0.000,1,v
892,1.326,0.000,1,v
893,0.238,0.059,1,v
894,0.000,0.000,1,v
895,0.425,0.573,1,v
896,0.055,0.111,1,v
897,0.768,0.000,1,v
898,0.000,0.022,1,v
899,0.582,0.291,1,v
900,0.000,0.210,1,v
901,0.000,0.210,1,v
902,0.701,0.350,1,v
903,0.819,0.000,1,v
904,0.263,0.000,1,v
905,0.356,0.090,1,v
906,0.433,0.433,1,v
907,0.000,0.182,1,v
908,0.358,0.188,1,v
909,0.242,0.000,1,v
910,1.011,0.000,1,v
911,0.454,0.523,1,v
912,0.298,0.149,1,v
913,0.170,0.341,1,v
915,0.000,0.171,1,v
916,1.154,0.524,1,v
917,0.168,0.336,1,v
918,0.000,0.169,1,v
919,0.174,0.174,1,v
920,0.478,0.000,1,v
921,0.000,0.168,1,v
922,0.000,0.168,1,v
923,0.792,0.339,1,v
924,0.601,0.133,1,v
925,0.682,0.341,1,v
926,0.415,0.138,1,v
927,0.149,0.074,1,v
928,0.395,0.000,1,v
929,0.682,0.341,1,v
930,0.121,0.000,1,v
931,0.360,0.524,1,v
932,1.021,0.218,1,v
933,0.234,0.000,1,v
934,0.371,0.000,1,v
935,0.559,0.000,1,v
936,0.185,0.061,1,v
937,0.000,0.000,1,v
938,0.565,0.000,1,v
939,0.089,0.079,1,v
940,0.089,0.079,1,v
941,0.457,0.000,1,v
942,0.759,0.000,1,v
943,1.008,0.059,1,v
944,1.005,0.059,1,v
945,1.008,0.059,1,v
946,0.034,0.000,1,v
947,0.034,0.000,1,v
948,0.522,0.000,1,v
949,0.034,0.000,1,v
950,0.034,0.000,1,v
951,0.144,0.000,1,v
